iter	RMSE
0	11809.74171
1	11474.62576
2	11178.07266
3	10893.2022
4	10593.99517
5	10339.16913
6	10074.4833
7	9829.14974
8	9584.472093
9	9371.875436
10	9171.467179
11	8989.733509
12	8800.551126
13	8607.129396
14	8427.078761
15	8242.560586
16	8058.789674
17	7904.013879
18	7741.377104
19	7595.617668
20	7449.435391
21	7303.309696
22	7172.94716
23	7055.218981
24	6938.152179
25	6830.701257
26	6702.807041
27	6584.746262
28	6467.362657
29	6388.002396
30	6295.843811
31	6214.37744
32	6127.109887
33	6042.911815
34	5969.741801
35	5890.830413
36	5831.287403
37	5761.100701
38	5689.647161
39	5637.487742
40	5576.128128
41	5521.861031
42	5467.077848
43	5421.597063
44	5377.101473
45	5330.024738
46	5279.766755
47	5237.612872
48	5196.650231
49	5156.479285
50	5119.323337
51	5091.977299
52	5065.056909
53	5032.522205
54	5004.512551
55	4977.697197
56	4950.409933
57	4926.197393
58	4906.052704
59	4884.765015
60	4860.723942
61	4840.498601
62	4823.908533
63	4802.208997
64	4785.640359
65	4764.823242
66	4753.009707
67	4736.880656
68	4720.058397
69	4706.153805
70	4690.320005
71	4676.229559
72	4667.327251
73	4655.100542
74	4643.139574
75	4631.064992
76	4617.397442
77	4609.708048
78	4595.002792
79	4586.349888
80	4577.794433
81	4566.072229
82	4553.34728
83	4543.269547
84	4536.460431
85	4526.722555
86	4518.381375
87	4508.144231
88	4499.228561
89	4494.517406
90	4486.060186
91	4477.253067
92	4471.749239
93	4465.473283
94	4461.37983
95	4451.431877
96	4446.672989
97	4438.923556
98	4432.126037
99	4424.120388
100	4417.965224
101	4404.50961
102	4399.658367
103	4391.842094
104	4385.50786
105	4375.473036
106	4367.354892
107	4363.221716
108	4357.503677
109	4353.341209
110	4345.433085
111	4339.975949
112	4336.282413
113	4325.524657
114	4323.196162
115	4320.120262
116	4316.954527
117	4311.112737
118	4307.196309
119	4300.923014
120	4298.521555
121	4296.026666
122	4289.816633
123	4285.366837
124	4278.118286
125	4273.433356
126	4269.263659
127	4259.396159
128	4257.610302
129	4251.511962
130	4243.414958
131	4239.246147
132	4234.812436
133	4229.177278
134	4223.461331
135	4215.857092
136	4211.776723
137	4206.120403
138	4202.371642
139	4196.003512
140	4193.0895
141	4188.317204
142	4183.796351
143	4176.367653
144	4171.344693
145	4164.322388
146	4159.732594
147	4158.307484
148	4153.81033
149	4151.632821
150	4147.839854
151	4143.223408
152	4135.214157
153	4128.024912
154	4120.824816
155	4116.039189
156	4111.694608
157	4106.271469
158	4101.216684
159	4096.194197
160	4089.649949
161	4083.345447
162	4076.992937
163	4071.842837
164	4065.666674
165	4063.525627
166	4055.904528
167	4052.643583
168	4045.711438
169	4042.967739
170	4038.482638
171	4033.317185
172	4027.848312
173	4025.470516
174	4023.17609
175	4019.592098
176	4017.517393
177	4012.066166
178	4008.244141
179	4001.711921
180	3994.011361
181	3991.003052
182	3987.828626
183	3981.828193
184	3978.743534
185	3973.529224
186	3970.454799
187	3964.26934
188	3959.772906
189	3956.408114
190	3950.414375
191	3945.467322
192	3941.106753
193	3936.283794
194	3931.701681
195	3927.82697
196	3922.564881
197	3919.218434
198	3913.264799
199	3908.439091
200	3903.953079
201	3900.007477
202	3893.792132
203	3886.44748
204	3881.554755
205	3877.409843
206	3871.438079
207	3865.316067
208	3861.065951
209	3856.643578
210	3852.12013
211	3847.949435
212	3841.835509
213	3834.490281
214	3830.691967
215	3825.602775
216	3820.267677
217	3816.454254
218	3811.852808
219	3805.324658
220	3799.219992
221	3793.836339
222	3791.625337
223	3786.167645
224	3783.418812
225	3778.505843
226	3774.997194
227	3771.000323
228	3769.471113
229	3765.804733
230	3759.037302
231	3754.168203
232	3750.752381
233	3747.086038
234	3742.019599
235	3737.020334
236	3732.41032
237	3725.012356
238	3720.913895
239	3717.245398
240	3713.785318
241	3711.100956
242	3706.321209
243	3704.366208
244	3698.30166
245	3694.022697
