iter	Passed	Remaining
0	3	3082
1	5	2953
2	7	2520
3	9	2387
4	12	2486
5	14	2404
6	17	2457
7	20	2488
8	22	2423
9	24	2412
10	26	2372
11	29	2406
12	30	2350
13	32	2321
14	34	2283
15	36	2253
16	38	2202
17	40	2186
18	41	2156
19	44	2182
20	46	2158
21	48	2145
22	49	2122
23	51	2098
24	53	2098
25	56	2128
26	58	2122
27	61	2121
28	63	2114
29	64	2100
30	67	2099
31	69	2095
32	70	2079
33	72	2065
34	74	2061
35	77	2083
36	80	2104
37	82	2089
38	84	2081
39	86	2076
40	88	2066
41	89	2051
42	92	2058
43	94	2047
44	96	2039
45	97	2030
46	100	2028
47	101	2020
48	103	2011
49	105	2002
50	107	1996
51	109	1995
52	111	1986
53	113	1980
54	115	1978
55	116	1970
56	118	1962
57	120	1954
58	121	1945
59	124	1952
60	126	1942
61	127	1934
62	129	1928
63	131	1921
64	133	1915
65	134	1907
66	136	1901
67	138	1895
68	140	1895
69	142	1890
70	144	1885
71	145	1880
72	147	1874
73	149	1868
74	150	1860
75	152	1856
76	154	1851
77	156	1853
78	158	1846
79	160	1841
80	162	1839
81	163	1834
82	165	1829
83	167	1823
84	168	1819
85	170	1814
86	172	1813
87	174	1809
88	176	1804
89	178	1801
90	179	1797
91	181	1794
92	183	1789
93	185	1785
94	187	1782
95	189	1784
96	191	1782
97	193	1777
98	194	1773
99	196	1768
100	198	1765
101	200	1761
102	201	1757
103	203	1756
104	205	1754
105	207	1750
106	209	1745
107	210	1741
108	212	1737
109	214	1733
110	215	1729
111	216	1718
112	218	1715
113	220	1713
114	222	1710
115	223	1706
116	225	1703
117	227	1699
118	229	1696
119	230	1693
120	232	1690
121	234	1687
122	236	1685
123	238	1683
124	240	1680
125	241	1677
126	243	1674
127	245	1671
128	247	1668
129	248	1666
130	250	1663
131	253	1665
132	255	1665
133	257	1664
134	259	1663
135	261	1660
136	263	1658
137	265	1657
138	267	1654
139	270	1660
140	272	1661
141	274	1659
142	276	1657
143	278	1658
144	280	1654
145	282	1651
146	285	1654
147	286	1650
148	288	1647
149	290	1644
150	292	1642
151	293	1639
152	296	1640
153	298	1637
154	301	1642
155	303	1640
156	305	1639
157	307	1640
158	310	1641
159	312	1639
160	314	1638
161	318	1644
162	319	1641
163	321	1640
164	325	1644
165	326	1641
166	328	1639
167	330	1638
168	333	1641
169	335	1638
170	337	1636
171	339	1633
172	341	1631
173	343	1630
174	345	1628
175	347	1625
176	350	1627
177	352	1625
178	353	1623
179	356	1622
180	357	1618
181	359	1616
182	361	1615
183	363	1611
184	365	1611
185	367	1608
186	369	1606
187	371	1603
188	373	1601
189	374	1598
190	377	1598
191	379	1595
192	381	1595
193	383	1594
194	385	1591
195	387	1588
196	388	1584
197	390	1581
198	392	1579
199	394	1576
200	396	1575
201	398	1573
202	400	1570
203	401	1567
204	403	1566
205	405	1563
206	407	1560
207	408	1557
208	410	1554
209	412	1553
210	414	1550
211	416	1547
212	417	1543
213	419	1540
214	421	1537
215	423	1537
216	426	1539
217	429	1541
218	431	1539
219	433	1536
220	435	1534
221	437	1532
222	439	1529
223	441	1528
224	442	1525
225	445	1524
226	446	1521
227	448	1518
228	450	1516
229	452	1514
230	454	1512
231	456	1509
232	457	1506
233	459	1504
234	461	1502
235	463	1501
236	465	1498
237	467	1495
238	469	1493
239	471	1494
240	473	1491
241	475	1488
242	477	1487
243	479	1485
244	481	1482
245	482	1480
246	484	1477
247	486	1474
248	488	1471
249	489	1469
250	491	1467
251	493	1465
252	495	1462
253	497	1460
254	498	1457
255	500	1454
256	502	1452
257	503	1449
258	505	1446
259	507	1444
260	510	1444
261	511	1441
262	513	1438
263	515	1436
264	517	1434
265	518	1431
266	520	1429
267	522	1427
268	523	1422
269	525	1420
270	526	1417
271	528	1414
272	530	1412
273	533	1412
274	534	1409
275	536	1406
276	538	1405
277	540	1402
278	541	1400
279	543	1397
280	545	1395
281	546	1392
282	548	1390
283	550	1388
284	552	1385
285	555	1385
286	558	1386
287	560	1384
288	562	1383
289	563	1380
290	565	1377
291	567	1375
292	568	1372
293	570	1370
294	572	1368
295	574	1366
296	576	1364
297	577	1361
298	579	1359
299	581	1356
300	583	1354
301	585	1352
302	586	1349
303	588	1347
304	590	1346
305	592	1344
306	594	1341
307	596	1339
308	598	1337
309	599	1334
310	601	1332
311	603	1330
312	605	1328
313	607	1326
314	608	1324
315	610	1321
316	612	1319
317	614	1317
318	615	1314
319	617	1312
320	619	1309
321	621	1307
322	622	1305
323	624	1303
324	626	1301
325	628	1298
326	629	1296
327	631	1294
328	633	1291
329	635	1289
330	637	1287
331	639	1286
332	640	1283
333	642	1281
334	644	1279
335	646	1277
336	647	1273
337	649	1271
338	650	1268
339	652	1267
340	654	1265
341	656	1262
342	658	1260
343	659	1257
344	661	1255
345	663	1253
346	664	1251
347	666	1248
348	668	1247
349	671	1246
350	672	1244
351	675	1242
352	676	1240
353	678	1238
354	680	1236
355	682	1233
356	684	1232
357	685	1228
358	687	1226
359	688	1224
360	690	1222
361	692	1220
362	694	1218
363	696	1216
364	697	1214
365	699	1212
366	701	1210
367	703	1208
368	705	1206
369	707	1203
370	708	1201
371	710	1199
372	712	1197
373	714	1195
374	715	1193
375	717	1191
376	719	1189
377	721	1187
378	723	1185
379	724	1182
380	726	1180
381	728	1178
382	730	1176
383	732	1174
384	734	1172
385	735	1170
386	737	1168
387	739	1166
388	741	1164
389	742	1161
390	744	1159
391	746	1157
392	748	1155
393	750	1154
394	752	1152
395	753	1149
396	755	1147
397	757	1145
398	759	1143
399	760	1141
400	762	1139
401	764	1137
402	766	1135
403	768	1133
404	770	1131
405	771	1129
406	774	1128
407	776	1126
408	778	1125
409	780	1123
410	782	1121
411	784	1119
412	786	1117
413	787	1115
414	789	1113
415	791	1111
416	793	1109
417	794	1106
418	796	1104
419	799	1103
420	800	1101
421	803	1099
422	805	1098
423	807	1097
424	809	1095
425	811	1093
426	814	1093
427	818	1093
428	820	1092
429	823	1091
430	825	1089
431	827	1087
432	829	1086
433	832	1085
434	834	1083
435	836	1082
436	838	1080
437	840	1078
438	842	1076
439	844	1074
440	846	1072
441	848	1071
442	850	1068
443	852	1067
444	854	1065
445	856	1064
446	859	1063
447	861	1061
448	863	1059
449	867	1060
450	869	1058
451	871	1056
452	873	1054
453	875	1053
454	878	1052
455	881	1051
456	883	1049
457	885	1048
458	887	1045
459	889	1043
460	891	1041
461	892	1039
462	895	1038
463	897	1036
464	900	1036
465	903	1035
466	906	1034
467	908	1032
468	911	1031
469	912	1029
470	914	1027
471	916	1025
472	918	1023
473	920	1021
474	922	1019
475	924	1017
476	926	1015
477	928	1013
478	929	1011
479	931	1009
480	933	1007
481	935	1005
482	937	1003
483	939	1001
484	941	999
485	943	997
486	944	995
487	946	993
488	948	991
489	950	989
490	952	987
491	954	985
492	956	983
493	958	981
494	960	980
495	962	978
496	964	976
497	966	974
498	968	971
499	969	969
500	971	967
501	973	966
502	975	964
503	977	962
504	979	960
505	981	958
506	983	956
507	985	954
508	987	952
509	989	950
510	991	949
511	993	946
512	995	944
513	997	943
514	999	940
515	1001	938
516	1002	937
517	1005	935
518	1007	933
519	1009	931
520	1010	929
521	1012	927
522	1014	925
523	1016	923
524	1018	921
525	1020	919
526	1022	917
527	1024	915
528	1026	913
529	1028	911
530	1029	909
531	1031	907
532	1033	905
533	1035	903
534	1037	901
535	1040	900
536	1041	898
537	1043	896
538	1045	894
539	1047	892
540	1049	890
541	1051	888
542	1052	886
543	1055	884
544	1057	882
545	1058	880
546	1060	878
547	1062	876
548	1064	874
549	1066	872
550	1068	870
551	1070	868
552	1072	866
553	1073	864
554	1075	862
555	1077	860
556	1079	858
557	1080	856
558	1082	854
559	1084	851
560	1086	850
561	1088	848
562	1089	846
563	1091	843
564	1093	841
565	1095	839
566	1096	837
567	1098	835
568	1100	833
569	1102	831
570	1103	829
571	1105	827
572	1107	825
573	1108	823
574	1110	821
575	1112	818
576	1114	816
577	1115	814
578	1117	812
579	1120	811
580	1121	809
581	1123	807
582	1126	805
583	1129	804
584	1131	802
585	1133	800
586	1135	799
587	1137	796
588	1139	795
589	1141	793
590	1143	791
591	1145	789
592	1147	787
593	1149	785
594	1151	784
595	1153	782
596	1155	780
597	1157	778
598	1159	776
599	1161	774
600	1162	772
601	1164	770
602	1166	768
603	1168	766
604	1170	764
605	1172	762
606	1174	760
607	1176	758
608	1178	756
609	1180	754
610	1182	753
611	1185	751
612	1188	750
613	1190	748
614	1192	746
615	1194	744
616	1196	742
617	1199	741
618	1201	739
619	1203	737
620	1204	735
621	1206	733
622	1208	731
623	1210	729
624	1211	727
625	1213	725
626	1215	723
627	1217	721
628	1219	719
629	1221	717
630	1223	715
631	1224	713
632	1226	711
633	1228	709
634	1229	706
635	1232	705
636	1234	703
637	1235	701
638	1237	699
639	1239	697
640	1241	695
641	1242	693
642	1244	691
643	1246	689
644	1248	687
645	1250	685
646	1252	683
647	1253	681
648	1255	679
649	1257	677
650	1259	675
651	1261	673
652	1263	671
653	1265	669
654	1267	667
655	1268	665
656	1270	663
657	1272	661
658	1274	659
659	1275	657
660	1277	655
661	1279	653
662	1281	651
663	1283	649
664	1285	647
665	1286	645
666	1288	643
667	1290	641
668	1292	639
669	1294	637
670	1296	635
671	1297	633
672	1299	631
673	1301	629
674	1304	628
675	1306	626
676	1308	624
677	1310	622
678	1312	620
679	1314	618
680	1315	616
681	1317	614
682	1319	612
683	1321	610
684	1323	608
685	1326	607
686	1330	606
687	1333	604
688	1337	603
689	1339	602
690	1343	600
691	1345	598
692	1347	596
693	1349	594
694	1350	592
695	1352	590
696	1354	588
697	1356	586
698	1357	584
699	1360	583
700	1362	581
701	1363	578
702	1365	576
703	1367	574
704	1369	572
705	1370	570
706	1372	568
707	1374	566
708	1376	564
709	1378	562
710	1379	560
711	1381	558
712	1383	556
713	1385	554
714	1386	552
715	1388	550
716	1390	548
717	1393	547
718	1395	545
719	1397	543
720	1399	541
721	1400	539
722	1402	537
723	1404	535
724	1405	533
725	1408	531
726	1409	529
727	1411	527
728	1413	525
729	1414	523
730	1416	521
731	1418	519
732	1420	517
733	1421	515
734	1423	513
735	1425	511
736	1427	509
737	1429	507
738	1430	505
739	1432	503
740	1434	501
741	1436	499
742	1437	497
743	1439	495
744	1441	493
745	1443	491
746	1445	489
747	1446	487
748	1448	485
749	1450	483
750	1452	481
751	1453	479
752	1455	477
753	1457	475
754	1459	473
755	1461	471
756	1462	469
757	1464	467
758	1466	465
759	1467	463
760	1469	461
761	1471	459
762	1474	457
763	1476	455
764	1478	454
765	1480	452
766	1482	450
767	1484	448
768	1486	446
769	1488	444
770	1490	442
771	1492	440
772	1493	438
773	1495	436
774	1497	434
775	1498	432
776	1500	430
777	1502	428
778	1504	426
779	1506	424
780	1507	422
781	1509	420
782	1511	418
783	1513	416
784	1515	414
785	1516	413
786	1518	411
787	1520	409
788	1522	407
789	1524	405
790	1525	403
791	1527	401
792	1529	399
793	1531	397
794	1532	395
795	1534	393
796	1536	391
797	1538	389
798	1540	387
799	1542	385
800	1544	383
801	1545	381
802	1547	379
803	1549	377
804	1550	375
805	1552	373
806	1554	371
807	1556	369
808	1558	367
809	1560	365
810	1561	363
811	1563	362
812	1565	360
813	1566	358
814	1568	356
815	1570	354
816	1572	352
817	1574	350
818	1576	348
819	1578	346
820	1579	344
821	1581	342
822	1583	340
823	1585	338
824	1587	336
825	1588	334
826	1590	332
827	1592	330
828	1593	328
829	1595	326
830	1597	324
831	1599	322
832	1601	320
833	1602	319
834	1604	317
835	1606	315
836	1608	313
837	1609	311
838	1611	309
839	1613	307
840	1614	305
841	1617	303
842	1618	301
843	1620	299
844	1622	297
845	1624	295
846	1626	293
847	1627	291
848	1629	289
849	1631	287
850	1633	285
851	1635	284
852	1636	282
853	1638	280
854	1640	278
855	1641	276
856	1643	274
857	1645	272
858	1647	270
859	1649	268
860	1650	266
861	1652	264
862	1654	262
863	1656	260
864	1658	258
865	1659	256
866	1661	254
867	1663	252
868	1665	251
869	1666	249
870	1668	247
871	1670	245
872	1672	243
873	1674	241
874	1675	239
875	1677	237
876	1679	235
877	1681	233
878	1683	231
879	1684	229
880	1686	227
881	1688	225
882	1690	223
883	1691	221
884	1693	220
885	1695	218
886	1697	216
887	1699	214
888	1700	212
889	1702	210
890	1704	208
891	1706	206
892	1708	204
893	1709	202
894	1711	200
895	1713	198
896	1715	197
897	1717	195
898	1719	193
899	1721	191
900	1723	189
901	1724	187
902	1726	185
903	1728	183
904	1730	181
905	1732	179
906	1733	177
907	1735	175
908	1737	173
909	1739	172
910	1740	170
911	1742	168
912	1744	166
913	1746	164
914	1747	162
915	1749	160
916	1751	158
917	1753	156
918	1754	154
919	1756	152
920	1758	150
921	1760	148
922	1762	147
923	1765	145
924	1768	143
925	1771	141
926	1773	139
927	1775	137
928	1777	135
929	1779	133
930	1781	132
931	1783	130
932	1785	128
933	1787	126
934	1788	124
935	1790	122
936	1792	120
937	1795	118
938	1797	116
939	1798	114
940	1801	112
941	1803	111
942	1805	109
943	1806	107
944	1808	105
945	1811	103
946	1813	101
947	1814	99
948	1816	97
949	1818	95
950	1821	93
951	1823	91
952	1825	90
953	1827	88
954	1829	86
955	1831	84
956	1833	82
957	1835	80
958	1836	78
959	1838	76
960	1840	74
961	1843	72
962	1845	70
963	1847	68
964	1849	67
965	1851	65
966	1852	63
967	1854	61
968	1856	59
969	1858	57
970	1860	55
971	1862	53
972	1864	51
973	1866	49
974	1867	47
975	1869	45
976	1871	44
977	1873	42
978	1876	40
979	1878	38
980	1879	36
981	1881	34
982	1883	32
983	1885	30
984	1887	28
985	1890	26
986	1892	24
987	1893	23
988	1895	21
989	1897	19
990	1899	17
991	1901	15
992	1903	13
993	1905	11
994	1907	9
995	1909	7
996	1910	5
997	1912	3
998	1914	1
999	1916	0
